序号,代码,简称,事件类型,具体事项,交易日
24,code.002838,道恩股份,股份质押,"公司股东韩丽梅将持有的本公司股份1920万股质押给平安银行股份有限公司青岛分行,质押起始日2025/07/09至申请解除质押之日为止并于2025年07月09日办理质押登记手续。",2025-07-11
25,code.002973,侨银股份,对外担保,"为了满足公司日常生产经营的资金需求,公司拟首次向中国建设银行股份有限公司广东自贸试验区分行申请综合授信额度不超过5亿元人民币,授信期限为1年,上述担保人为公司控股股东、实际控制人郭倍华、刘少云、韩丹。",2025-07-11
26,code.002990,盛视科技,资产重组,"盛视科技股份有限公司于法国巴黎时间2025年7月10日参与ALDEBARAN SAS司法清算的机器人相关资产(以下简称“竞得资产”)的公开拍卖,公司最终以90万欧元成功竞得该资产。竞拍成功后,公司将通过全资子公司香港盛视技术有限公司在法国巴黎设立盛视技术法国有限公司(暂定名,具体以当地登记机关核准为准,以下简称“法国子公司”)作为竞得资产的接收方和后续运营主体。",2025-07-11
27,code.003003,天元股份,资产重组,"为积极响应国家“一带一路”倡议,加强海外市场的业务拓展,实现多元化发展,广东天元实业集团股份有限公司(以下简称“公司”或“本公司”)下属全资子公司天元(香港)国际发展有限公司(以下简称“公司下属全资子公司”或“天元(香港)公司”)计划与Hongkong Vesta Holdings Co.,Limited(以下简称“合资方”)共同在柬埔寨投资设立合资公司,合资公司投资总额1,600.00万美元,其中,公司下属全资子公司天元(香港)公司以自有资金出资816.00万美元,占合资公司投资总额的51%;合资方以自有资金出资784.00万美元,占合资公司投资总额的49%。合资公司主要从事包装装潢印刷品印刷;文件、资料其他印刷品;纸类、塑胶类包装材料、产业园租赁及管理。",2025-07-11
28,code.003038,鑫铂股份,对外担保,"1、公司子公司鑫铂光伏因业务发展需要向九江银行股份有限公司庐江支行申请开具电子银行承兑汇票7,000.00万元,其中存入保证金3,500.00万元。公司为鑫铂光伏提供连带责任保证,实际担保3,500万元。近日《最高额保证合同》已完成签署。",2025-07-11
29,code.003038,鑫铂股份,对外担保,"2、公司子公司鑫铂科技因业务发展需要向渤海银行股份有限公司合肥分行申请开具电子银行承兑汇票10,000.00万元,其中存入保证金5,000.00万元。公司为鑫铂科技提供连带责任保证,实际担保5,000万元。近日《最高额保证协议》已完成签署。",2025-07-11
30,code.300027,华谊兄弟,对外担保,"近日华谊兄弟传媒股份有限公司(以下简称“公司”)、公司全资子公司华谊兄弟电影有限公司(以下简称“华谊电影”)与七印象(佛山)影视传媒有限公司因合同纠纷事宜达成和解意向签署了《和解协议书》,公司为华谊电影就协议中约定的债权债务金额提供担保。",2025-07-11
31,code.300043,星辉娱乐,资产重组,"为满足控股孙公司REIAL CLUB DEPORTIU ESPANYOL DE BARCELONA, S.A.D.经营发展需求,提升西班牙人的综合竞争力,星辉互动娱乐股份有限公司境外全资子公司星辉游戏(香港)有限公司拟以借款转增资的方式对西班牙人增资。",2025-07-11
32,code.300051,琏升科技,对外担保,"公司于2025年7月9日召开第六届董事会第四十八次会议,审议通过《关于控股孙公司为控股孙公司提供担保的议案》,同意追加公司控股孙公司江苏琏升科技有限公司(简称“江苏琏升”)为眉山琏升上述不超过人民币75,000万元的授信额度提供连带责任保证担保,其他担保方式不变;同意签署相关贷款补充协议书,董事会授权公司管理层或管理层指定的委托代理人办理相关手续。",2025-07-11
33,code.300052,ST中青宝,股份质押,"公司股东深圳市宝德投资控股有限公司将持有的本公司股份400万股质押给深圳市高新投融资担保有限公司,质押起始日2025/07/08至质权人解除质押登记之日并于2025年07月08日办理质押登记手续。",2025-07-11
34,code.300109,新开源,股份质押,"公司股东王东虎将持有的本公司股份1520万股质押给中国银河证券股份有限公司,质押起始日2025/07/09质押到期日2026/07/08并于2025年07月09日办理质押登记手续。",2025-07-11
35,code.300252,金信诺,对外担保,"为了满足业务发展需要,公司控股子公司信丰金信诺安泰诺高新技术有限公司(以下简称“信丰安泰诺”)拟向赣州银行股份有限公司信丰支行(以下简称“赣州银行”)申请银行承兑汇票额度2,600万元。为支持信丰安泰诺的业务发展,公司为其前述融资提供担保,担保方式为连带责任保证担保,担保的主债权本金最高限额为2,600万元,保证期间为债务履行期届满之日起三年。",2025-07-11
36,code.300268,*ST佳沃,对外担保,"为满足业务发展及日常流动资金的需求,公司控股子公司青岛国星食品股份有限公司(以下简称“青岛国星”)拟向日照银行股份有限公司青岛分行(以下简称“日照银行”)申请综合授信。2025年7月11日,佳沃集团与日照银行签署了《本金最高额保证合同》,为上述授信提供担保,担保额度不超过3,000万元人民币的本金余额。青岛国星股东及法定代表人张志刚先生以其持有的青岛国星股份比例向佳沃集团承担反担保责任。",2025-07-11
37,code.300555,ST路通,资产重组,"2025年5月7日,吴世春与顾纪明、萍乡汇德企业管理中心(有限合伙)、蒋秀军、尹冠民、庄小正签订《股份转让协议》,约定股份转让方向吴世春转让合计6.4%的公司股份,股份的实际受让主体是未来设立的以吴世春为普通合伙人暨执行事务合伙人的有限合伙企业“梅岭合伙”,股份转让价款合计160,084,812.50元。同日,吴世春与股份转让方签订《表决权委托协议》,约定股份转让方将其转让股份所对应的表决权不可撤销地全权委托给吴世春行使,委托期限自《表决权委托协议》签署之日至2025年7月31日或股份转让过户完成止。",2025-07-11
38,code.300582,英飞特,股份质押,"公司股东GUICHAO HUA将持有的本公司股份1014万股质押给渤海国际信托股份有限公司,质押起始日2025/07/09至办理解除质押登记手续之日并于2025年07月09日办理质押登记手续。",2025-07-11
39,code.300607,拓斯达,对外担保,"为加速解决江苏润阳新能源科技股份有限公司(以下简称“润阳新能源”)应付广东拓斯达科技股份有限公司(以下简称“公司”或“拓斯达”)2,678万元的货款事宜,经润阳新能源内部协商,拟由其控股子公司江苏润阳世纪光伏科技有限公司(以下简称“润阳世纪光伏”)向中关村科技租赁股份有限公司(以下简称“中关村租赁”)申请融资租赁业务。该融资款项将专项用于偿还润阳新能源对公司的债务。为此,润阳新能源与公司拟共同为润阳世纪光伏向中关村租赁申请的融资租赁业务提供连带责任回购担保。同时,公司将为该融资提供保证金及存款单的质押担保。本次担保本金金额不超过人民币2,678万元,担保期限不超过30个月。润阳新能源向债权人履行担保责任后无权向公司追偿,公司向债权人履行担保责任后有权向润阳新能源追偿;同时润阳新能源的股东及法定代表人陶龙忠先生及润阳新能源作为反担保人向公司提供连带责任保证担保。",2025-07-11
40,code.300632,光莆股份,股份质押,"公司股东林文坤将持有的本公司股份380万股,695万股共计1075万股分2笔质押给中信建投证券股份有限公司,质押起始日2025/07/09至质押解除日2026/07/09并于2025年07月09日办理质押登记手续。",2025-07-11
41,code.300657,弘信电子,对外担保,"公司作为保证人,与江苏银行股份有限公司上海分行(以下简称“江苏银行”)签署《最高额保证合同》,为公司控股子公司上海燧弘华创科技有限公司(以下简称“燧弘华创”)向江苏银行融资提供最高额连带责任保证担保,担保金额为5,000.00万元。公司持有燧弘华创60%股权,舟山沪弘智创股权投资合伙企业(有限合伙)(曾用名“上海沪弘智创企业管理合伙企业(有限合伙)”,以下简称“沪弘智创”)持有燧弘华创40%股权,沪弘智创就上述公司为燧弘华创银行融资担保事项出具《反担保函》,提供等比例反担保。",2025-07-11
42,code.300698,万马科技,资产重组,"万马科技股份有限公司于2024年6月27日接到公司控股股东、实际控制人张德生先生通知:张德生先生于2024年6月27日与公司副总经理李勋宏先生签署了《关于万马科技股份有限公司之股份转让协议》,通过协议转让的方式向李勋宏先生转让万马科技无限售流通股6,700,000股(占公司总股本的5.00%),每股转让价格为28.56元,转让价款总计191,352,000元。",2025-07-11
43,code.300769,德方纳米,对外担保,"近日,公司向平安银行股份有限公司深圳分行(以下简称“平安银行深圳分行”)申请总额为人民币62,500.00万元整的综合授信额度(其中敞口额度50,000.00万元整),授信有效期一年。公司将平安银行深圳分行授予公司的授信额度分别转授信给子公司曲靖市德方纳米科技有限公司(以下简称“曲靖德方”)、曲靖市麟铁科技有限公司(以下简称“曲靖麟铁”)、曲靖市德枋亿纬有限公司(以下简称“德枋亿纬”)和宜宾市德方时代科技有限公司(以下简称“宜宾德方时代”)使用,曲靖德方、曲靖麟铁、德枋亿纬、宜宾德方时代分别与平安银行深圳分行签署了《综合授信额度合同》,平安银行深圳分行为曲靖德方提供总额为人民币22,500.00万元整的综合授信额度(其中敞口额度20,000.00万元整)、为曲靖麟铁提供总额为人民币15,000.00万元整的综合授信额度(其中敞口额度10,000.00万元整)、为德枋亿纬提供总额为人民币15,000.00万元整的综合授信额度(其中敞口额度10,000.00万元整)、为宜宾德方时代提供总额为人民币10,000.00万元整的综合授信额度(其中敞口额度10,000.00万元整),公司与平安银行深圳分行签署了《综合授信额度合同》,同意为曲靖德方、曲靖麟铁、德枋亿纬、宜宾德方时代的上述授信提供敞口额度合计为人民币50,000.00万元整的连带责任保证;宜宾德方时代向中信银行股份有限公司宜宾分行(以下简称“中信银行宜宾分行”)申请综合授信额度,中信银行宜宾分行为宜宾德方时代提供敞口总额为人民币5,000.00万元整的综合授信额度,公司与中信银行宜宾分行签署了《最高额保证合同》,同意为宜宾德方时代的该笔授信提供敞口总额为人民币5,000.00万元整的保证担保。",2025-07-11
44,code.300915,海融科技,资产重组,"上海海融食品科技股份有限公司基于战略规划及业务发展需要,以自有资金10万美元在香港投资设立全资子公司海融(香港)科技發展有限公司,公司直接持有海融香港科技發展100%的股份。",2025-07-11
45,code.300952,恒辉安防,对外担保,"近日,公司与中国银行股份有限公司如东支行(以下简称“中国银行如东支行”)签订的《最高额保证合同》,约定公司为恒越安防与中国银行如东支行所发生的债权提供连带责任担保,被担保的主债权本金最高余额为人民币2,000万元。",2025-07-11
46,code.300952,恒辉安防,对外担保,"近日,公司与中国建设银行股份有限公司如东支行(以下简称“建设银行如东支行”)签订的《最高额保证合同》,约定公司为恒越安防与建设银行如东支行所发生的债权提供连带责任担保,被担保的主债权本金最高余额为人民币4,000万元。",2025-07-11
47,code.300995,奇德新材,资产重组,"根据广东奇德新材料股份有限公司(以下简称“奇德新材”、“公司”)经营发展需要,公司拟与广东粤科风险投资管理有限公司(以下简称“粤科风投”)、广东省新兴产业投资基金合伙企业(有限合伙)(以下简称“新兴产业”)、开平市国承交通建设投资有限公司(以下简称“国承交通”)共同出资成立广东粤科开平高质量发展基金合伙企业(有限合伙)。",2025-07-11
48,code.301013,利和兴,资产重组,"基于深圳市利和兴股份有限公司整体战略规划和经营发展的需要,公司控股子公司利和兴智能装备(苏州)有限公司注册资本由1,000万元人民币增加至1,200万元人民币,同时变更利和兴苏州股东信息及经营范围事项,并相应修改利和兴苏州公司章程。",2025-07-11
49,code.301313,凡拓数创,资产重组,"为更好地优化公司业务板块管理架构,优化资源配置,推动公司“AI3D+智慧水利水务”业务布局落地实施,公司于2025年7月10日召开第四届董事会第十四次会议,审议通过了《关于公司控股子公司股权划转的议案》,同意公司将持有的浙江禹贡51%股权无偿划转给公司全资子公司广东凡拓智水科技有限公司。本次划转不涉及支付对价,公司未获得任何股权或非股权支付。本次划转完成后,浙江禹贡成为凡拓智水的控股子公司,成为公司的控股孙公司。",2025-07-11
50,code.301313,凡拓数创,资产重组,"广州凡拓数字创意科技股份有限公司拟以5,932.08万元的自有资金购买张仁贡、黄林根、周国民、郑重、胡昊翔、汪建宏、许小杰、池龙哲、方昉、刘日锋、胡克志、金晶、张庆和、杨勇合计持有的浙江禹贡信息科技有限公司44.94%股权,同时,公司以人民币1,633万元对禹贡科技进行增资,其中136.0408万元计入注册资本,剩余1,496.9592万元计入资本公积。该项增资完成后,标的公司注册资本变更为1,236.0408万元。本次股权转让及增资完成后公司将合计取得禹贡科技51%股权,合计投资金额为7,565.08万元。标的公司将成为公司控股子公司,纳入公司合并报表范围。",2025-07-11
51,code.301372,科净源,对外担保,"基于前期公司董事会及股东大会审议通过的内容及授权,为促进公司业务的开展,公司拟向杭州银行股份有限公司北京自贸试验区支行(以下简称“杭州银行”)申请流动资金贷款,额度为2,000万元,贷款期限1年,由北京海淀科技企业融资担保有限公司(以下简称“海淀科技担保”)为公司本次申请贷款提供担保,公司实际控制人葛敬先生、张茹敏女士为海淀科技担保提供连带责任保证反担保,该反担保不向公司收取任何担保费用,也不需要公司提供反担保。同时葛敬先生、张茹敏女士以两项不动产抵押为海淀科技担保提供连带责任保证反担保。",2025-07-11
52,code.301387,光大同创,对外担保,"近日,公司作为保证人与中信银行股份有限公司深圳分行(以下简称“中信银行深圳分行”)签署了《最高额保证合同》,为重庆致贯与中信银行深圳分行在2025年4月25日至2025年12月31日期间所签署的主合同项下的债务提供连带责任保证,担保的最高债权本金为人民币1,000万元。2025年7月10日,公司作为保证人与中信银行深圳分行签署了《最高额保证合同》,为重庆致贯与中信银行深圳分行在2025年7月10日至2026年12月31日期间所签署的主合同项下的债务提供连带责任保证,担保的最高债权本金为人民币3,000万元。同时双方约定,公司与中信银行深圳分行于2025年4月25日签订的《最高额保证合同》于2025年7月10日终止,所对应主合同项下的债权亦转入新签署的《最高额保证合同》最高额保证担保的债权范围之内,所终止的《最高额保证合同》担保的最高债权本金为人民币1,000万元。",2025-07-11
53,code.301387,光大同创,对外担保,"2025年7月10日,公司作为保证人与中信银行深圳分行签署了《最高额保证合同》,为重庆致贯与中信银行深圳分行在2025年7月10日至2026年12月31日期间所签署的主合同项下的债务提供连带责任保证,担保的最高债权本金为人民币3,000万元。同时双方约定,公司与中信银行深圳分行于2025年4月25日签订的《最高额保证合同》于2025年7月10日终止,所对应主合同项下的债权亦转入新签署的《最高额保证合同》最高额保证担保的债权范围之内,所终止的《最高额保证合同》担保的最高债权本金为人民币1,000万元。",2025-07-11
54,code.600105,永鼎股份,对外担保,"2、公司收到银行函件,公司与兴业银行股份有限公司苏州分行(以下简称“兴业银行苏州分行”)签署《最高额保证合同》,为控股子公司江苏光电子向兴业银行苏州分行申请1,000万元期限为一年的银行授信提供连带责任保证担保;公司与上海农村商业银行股份有限公司宝山支行(以下简称“上海农商行宝山支行”)签署《保证合同》,为控股子公司江苏光电子向上海农商行宝山支行申请800万元期限为一年的银行授信提供连带责任保证担保。本次为控股子公司江苏光电子提供的担保,由其他股东上海泓基企业管理咨询合伙企业(有限合伙)和间接持股股东李鑫按其持股比例提供相应反担保。",2025-07-11
55,code.600105,永鼎股份,对外担保,"3、公司收到银行函件,公司与上海农商行宝山支行签署《保证合同》,为全资子公司上海光电子向上海农商行宝山支行申请300万元期限为一年的银行授信提供连带责任保证担保。本次为全资子公司上海光电子提供的担保,无反担保。",2025-07-11
56,code.600105,永鼎股份,对外担保,"1、公司收到银行函件,公司与中国建设银行股份有限公司苏州长三角一体化示范区分行(以下简称“建行苏州示范区分行”)签署《保证合同》,为全资子公司苏州金亭向建行苏州示范区分行申请1,600万元期限为四个月的银行授信提供连带责任保证担保。本次为全资子公司苏州金亭提供的担保,无反担保。",2025-07-11
57,code.600105,永鼎股份,对外担保,"4、公司收到银行函件,公司与中信银行股份有限公司苏州分行(以下简称“中信银行苏州分行”)签署《最高额保证合同》,为控股子公司苏州鼎芯向中信银行苏州分行申请1,000万元期限为一年的银行授信提供连带责任保证担保。本次为控股子公司苏州鼎芯提供的担保,无反担保。",2025-07-11
58,code.600105,永鼎股份,对外担保,"5、公司收到银行函件,公司与兴业银行苏州分行签署《最高额保证合同》,为控股子公司东部超导向兴业银行苏州分行申请1,000万元期限为一年的银行授信提供连带责任保证担保。本次为控股子公司东部超导提供的担保,无反担保。",2025-07-11
59,code.600105,永鼎股份,对外担保,"6、公司收到银行函件,公司与上海农商行宝山支行签署《保证合同》,为全资子公司永鼎线缆向上海农商行宝山支行申请500万元期限为一年的银行授信提供连带责任保证担保。本次为全资子公司永鼎线缆提供的担保,无反担保。",2025-07-11
60,code.600111,北方稀土,资产重组,"中国北方稀土(集团)高科技股份有限公司(以下简称公司或北方稀土)拟以自有资金出资15,300万元人民币,与公司参股公司福建省金龙稀土股份有限公司合资成立北方金龙(包头)稀土有限公司,并以新公司为主体建设5000吨氧化稀土分离生产线项目。",2025-07-11
61,code.600251,冠农股份,对外担保,"3、银通棉业与富民村镇银行签署《保证合同》,银通棉业为巴州冠农棉业在富民村镇银行的授信业务全额提供最高额为1,500万元的连带责任担保,本次担保金额300万元,本次无反担保。",2025-07-11
62,code.600251,冠农股份,对外担保,"1、公司与新疆库尔勒农村商业银行股份有限公司(以下简称“库尔勒农商行”)签署《担保合同》,公司为控股子公司银通棉业在库尔勒农商行的授信业务提供60%即8,400万元的连带责任保证担保,新疆华夏汇通实业有限公司(以下简称“华夏汇通”)为银通棉业在库尔勒农商行的授信业务提供40%即5,600万元的连带责任保证担保。公司的控股股东新疆冠农集团有限责任公司(以下简称“冠农集团”)为本次公司为银通棉业8,400万元担保提供1,223.60万元(按照其持有银通棉业8.74%的股权)的反担保,银通棉业以其全部资产及收益为本次公司为其8,400万元担保提供反担保。",2025-07-11
63,code.600251,冠农股份,对外担保,"4、银通棉业与中国农业银行股份有限公司铁门关兵团分行(以下简称“农业银行铁门关分行”)签署《保证合同》,银通棉业为巴州冠农棉业在农业银行铁门关分行的授信业务全额提供最高额为4,000万元的连带责任担保,本次担保金额4,000万元,本次无反担保。",2025-07-11
64,code.600251,冠农股份,对外担保,"2、巴州冠农棉业与新疆库尔勒富民村镇银行股份有限公司(以下简称“富民村镇银行”)签署《保证合同》,巴州冠农棉业为银通棉业在富民村镇银行的授信业务全额提供最高额为1,000万元的连带责任担保,本次担保金额300万元,本次无反担保。",2025-07-11
65,code.600361,创新新材,对外担保,公司及子公司山东创新金属科技有限公司为子公司创新精密向兴业银行股份有限公司滨州分行申请流动贷款提供1.8亿元担保。,2025-07-11
66,code.600361,创新新材,对外担保,子公司山东创新金属科技有限公司为公司向厦门国际银行股份有限公司北京分行申请综合授信业务提供2亿元担保。,2025-07-11
67,code.600361,创新新材,对外担保,公司为子公司创新精密向汇丰银行(中国)有限公司济南分行申请综合授信业务提供1.5亿元担保。,2025-07-11
68,code.600361,创新新材,对外担保,子公司山东创新金属科技有限公司为公司向徽商银行股份有限公司北京常营支行申请国内信用证业务提供0.585亿元担保。,2025-07-11
69,code.600361,创新新材,对外担保,公司为子公司创新精密向富邦华一银行有限公司济南分行申请综合授信业务提供2亿元担保。,2025-07-11
70,code.600361,创新新材,对外担保,公司及子公司山东创新金属科技有限公司为创新板材向兴业银行股份有限公司滨州分行申请流动贷款提供1.2亿元担保。,2025-07-11
71,code.600361,创新新材,对外担保,子公司山东创新金属科技有限公司为公司向中信银行股份有限公司北京分行申请股票回购专项贷款业务提供1.8亿元担保。,2025-07-11
72,code.600361,创新新材,对外担保,"公司为子公司越南精密向永丰银行股份有限公司澳门分行申请设备抵押贷款业务提供约1.6321亿元担保(合同金额2280万美元,参考合同签署日基准汇率换算折合约人民币约16,321.61万元,实际汇率以放款当日为准)。",2025-07-11
73,code.600363,联创光电,股份质押,"公司股东江西省电子集团有限公司将持有的本公司股份200万股质押给中集商业保理有限公司,质押起始日2025/07/09质押到期日2030/12/31并于2025年07月09日办理质押登记手续。",2025-07-11
74,code.600370,三房巷,资产重组,"近日,公司与优势金控(上海)资产管理有限公司、优势晶(上海)投资管理中心(有限合伙)、徐晓明、曹梦蓉、李阅婷、尹国华共同签署了《厦门衫势卓然壹号创业投资基金合伙企业(有限合伙)合伙协议》,根据合伙协议约定,公司作为有限合伙人以自有资金人民币1,000.00万元出资认购投资基金份额,出资占比50.00%。",2025-07-11
75,code.600459,贵研铂业,对外担保,"2025年07月08日,公司为永兴资源与渣打银行(中国)有限公司(以下简称“渣打银行”)合作开展贵金属套期保值业务提供担保,向渣打银行出具保证函,为永兴资源与中国银行股份有限公司郴州分行(以下简称“中国银行”)合作开展贵金属套期保值业务提供担保,向中国银行出具最高额保证合同。",2025-07-11
76,code.600549,厦门钨业,资产重组,"遵照国家产业整体规划,为充分发挥资源、技术优势,共同推进稀土产业高质量发展,公司控股子公司金龙稀土拟与北方稀土合资成立北方金龙,合资公司注册资本30,000万元,其中金龙稀土出资14,700万元,持股比例为49%;北方稀土出资15,300万元,持股比例为51%;并由合资公司在包头市昆都仑经济技术开发区投资新建5,000吨氧化稀土分离生产线项目,本项目建设规模总投资45,701.30万元。",2025-07-11
77,code.600673,东阳光,资产重组,"广东东阳光科技控股股份有限公司参股公司宜昌东阳光长江药业股份有限公司与公司关联方广东东阳光药业股份有限公司签署了《吸收合并协议》,由东阳光药向长江药业换股股东发行H股股份并注销换股股东持有的长江药业H股的方式吸收合并长江药业。公司作为东阳光药、长江药业的参股股东将参与本次合并换股事项,公司所持有的长江药业21,815,200股H股股份预计可换得5,750,792股东阳光药发行的H股股份(最终换股数量以实际交易情况为准)。",2025-07-11
78,code.600828,茂业商业,对外担保,"根据经营发展的需要,茂业商业股份有限公司(以下简称“茂业商业”、“公司”)控股子公司内蒙古茂业集团拟向鄂尔多斯银行申请流动资金贷款,额度为人民币10,000万元,单笔业务期限不超过一年。该笔贷款拟以内蒙古茂业购物广场有限公司名下持有的位于呼和浩特市新城区新华大街维多利广场1号楼,呼和浩特市茂业房地产开发有限公司名下持有的位于呼和浩特市回民区中山西路39号维多利商厦1层和4层,以及内蒙古茂业集团名下持有位于呼和浩特市回民区锡林北路首府广场1号楼2层和5层商业房产提供抵押担保,总建筑面积为40,064.84平方米。同时,为支持内蒙古茂业集团运营发展,公司拟与鄂尔多斯银行签订相关担保合同,为内蒙古茂业集团向其申请的贷款提供连带责任保证担保,本次担保最高本金限额为人民币10,000万元,保证期间为主合同约定的债务履行期限届满之日起3年。",2025-07-11
79,code.600839,四川长虹,资产重组,"为支持公司下属子公司四川长虹置业有限公司的全资子公司成都长虹置业有限公司之全资子公司成都锦成置业有限公司的业务发展、充实锦成置业资金实力,会议同意公司及四川长虹创新投资有限公司对长虹置业、长虹置业对成都置业及成都置业对锦成置业分别以非公开协议方式逐级增资,增资金额均为人民币1.6亿元,增资价格均为1元/注册资本。增资完成后,长虹置业的注册资本变更为30,384万人民币,成都置业的注册资本变更为2.3亿人民币,锦成置业的注册资本变更为1.8亿人民币。同意授权公司经营管理层组织实施相关事宜。",2025-07-11
80,code.600839,四川长虹,资产重组,"为满足公司下属子公司四川长虹置业有限公司(以下简称“长虹置业”)经营发展需要,会议同意公司及下属子公司四川长虹创新投资有限公司通过同比例增资及现金出资的方式向长虹置业合计增资1.2亿元人民币。增资完成后,长虹置业注册资本将由30,384万元人民币变更为42,384万元人民币。",2025-07-11
81,code.600901,江苏金租,对外担保,"近日,公司与中国民生银行股份有限公司南京分行(以下简称“民生银行”)签订《保证合同》,为汇清租赁的有关贷款提供担保。汇清租赁是本公司经原中国银保监会江苏监管局批准后,为开展跨境船舶租赁业务而在境内保税地区设立的全资项目公司。",2025-07-11
82,code.600939,重庆建工,资产重组,"公司合资成立项目公司,以实施开发招商项目。项目估算总投资暂定56,632.79万元,其中公司涉及的出资额暂定为45,000.00万元。项目公司注册资本金10,000.00万元,其中公司持有79.46%的股权。",2025-07-11
83,code.603209,兴通股份,对外担保,"2025年7月10日,兴通海运股份有限公司(以下简称“公司”)与中国工商银行股份有限公司泉州泉港支行(以下简称“工商银行”)签订了保证合同(合同编号:0140800007-2025年泉港(保)字0019号),就全资子公司兴通海象向工商银行申请的人民币21,840万元整(贰亿壹仟捌佰肆拾万元整)固定资产借款提供连带责任担保。",2025-07-11
84,code.603579,荣泰健康,资产重组,"近日,上海荣泰健康科技股份有限公司与上海敦鸿资产管理有限公司签订了《嘉兴恩毅股权投资合伙企业(有限合伙)合伙协议》,在确保满足日常经营资金需求、总体投资风险可控的前提下,为了进一步拓展新兴领域的投资,充分利用专业机构的经验和资源,公司作为有限合伙人以自有资金人民币2,060万元出资认购嘉兴恩毅的基金份额,持股比例占合伙企业本期募集认缴出资总额的99.52%。",2025-07-11
85,code.603668,天马科技,股份质押,"公司股东陈庆堂将持有的本公司股份1200万股质押给国泰海通证券股份有限公司,质押起始日2025/07/09,质押到期日2026/07/09并于2025年07月09日办理质押登记手续。",2025-07-11
86,code.603681,永冠新材,对外担保,"2025年7月10日,江西永冠与中国进出口银行江西省分行(以下简称“贷款人”)签署了《借款合同(出口卖方信贷)》(以下简称“主合同”、“借款合同”)向上述银行申请不超过3亿元的银行贷款,银行授信期限为十四个月。同时,上海永冠众诚新材料科技(集团)股份有限公司(以下简称“公司”)与中国进出口银行江西省分行签署了《保证合同》,为江西永冠向上述银行申请的银行贷款提供借款合同项下的全部贷款本金的连带责任保证,公司提供的保证期间为“主合同”项下债务履行期届满之日起三年。",2025-07-11
87,code.603815,交建股份,资产重组,"2022年12月,安徽省交通建设股份有限公司(以下简称“公司”)与天津铁投资产管理有限公司(以下简称“天津铁投”)等合伙人签订了《天津轨道交通产业基金合伙企业(有限合伙)合伙协议》,共同出资设立天津轨道交通产业基金合伙企业(有限合伙)(以下简称“天津轨道基金”),公司作为有限合伙人认缴出资人民币5,000万元,认缴出资比例为1%。基于公司投资战略布局和未来发展规划,经与各方充分沟通并友好协商,一致同意公司将持有的天津轨道基金1%的合伙企业份额(对应认缴出资额人民币5,000万元,实缴出资额人民币5,000万元)及基于该合伙企业份额附带的所有权利和权益转让给天津铁投,转让价款为人民币5,000万元。",2025-07-11
88,code.603815,交建股份,股份质押,"公司股东黄山市为众投资管理中心(有限合伙)将持有的本公司股份400万股质押给中国中信金融资产管理股份有限公司安徽省分公司,质押起始日2025/07/09质押到期日2028/12/18并于2025年07月09日办理质押登记手续。",2025-07-11
89,code.603836,海程邦达,对外担保,"根据公司生产经营及业务发展需要,2025年7月10日,公司与中国银行股份有限公司宁波市分行(以下简称“中国银行宁波分行”)签订《最高额保证合同》,为宁波顺圆与中国银行宁波分行的授信业务提供不超过人民币3,000万元的连带责任保证。",2025-07-11
90,code.603985,恒润股份,股份质押,"公司股东承立新将持有的本公司股份500万股质押给任希,质押起始日2025/07/08质押到期日无固定期限并于2025年07月08日办理质押登记手续。",2025-07-11
91,code.603985,恒润股份,股份质押,"公司股东承立新将持有的本公司股份1000万股质押给余林法,质押起始日2025/07/08质押到期日无固定期限并于2025年07月08日办理质押登记手续。",2025-07-11
92,code.603993,洛阳钼业,对外担保,"在股东大会及董事会授权范围内,公司拟向被担保方提供总额不超过19亿元的担保。",2025-07-11
93,code.688503,聚和材料,股份质押,"公司股东陈耀民将持有的本公司股份780万股质押给深圳市高新投融资担保有限公司,质押起始日2025/07/09至质权人解除质押为止并于2025年07月09日办理质押登记手续。",2025-07-11
94,code.688701,卓锦股份,资产重组,"公司于近日收到实际控制人卓未龙先生(以下简称“出让方”)的通知,出于有效提升团队凝聚力、充分调动骨干员工积极性和创造性、进一步增强企业核心竞争力的目的,其分别与6名公司骨干员工(以下统称为“受让方”)签署了《出资份额转让协议》,拟向受让方转让其持有的高廷管理合计263,160元的出资份额。受让完成后,6名受让方合计通过高廷管理享有卓锦股份1,315,800股股份的收益权。交易的具体内容:出让方同意向每位受让方以100万元的价格将出让方在合伙企业的43,860元财产份额(即实缴出资43,860元,占合伙企业财产份额的1.083%)转让给受让方。本次合伙企业份额转让交易总金额共计600万元,涉及合伙企业份额共计263,160元(份),占合伙企业总份额的6.4978%,出让方间接获得的上市公司股份数总计1,315,800股,占总股本的比例为0.9799%。",2025-07-11
1,code.000415,渤海租赁,对外担保,"为支持AvolonFunding本次6.5亿美元优先无抵押票据发行工作顺利开展,Avolon及其下属子公司ParkAerospaceHoldingsLimited、CITAerospaceLLC、CITGroupFinance(Ireland)UnlimitedCompany、CITAviationFinanceIIILtd.、AvolonAerospaceLeasingLimited、CITAerospaceInternationalUnlimitedCompany(以下简称“Avolon下属子公司”)作为担保人为上述融资提供连带责任保证担保。",2025-07-12
2,code.000546,金圆股份,股份质押,"公司股东潘颖将持有的本公司股份2230万股质押给华夏银行股份有限公司杭州之江支行,质押起始日2025/07/10至办理解除质押手续之日并于2025年07月10日办理质押登记手续。",2025-07-12
